,address,sale_price,property_tax_2016,lot_size,square_feet,main_sqft,zillow_bedrooms,plumbing,year_built,type,neighborhood,zillow_finished_sqft,elementaryschool,segments,is_condo,roof,exteriormaterial,parkingtype,heatingsystem,coolingsystem,architecture,homedescription,on_zillow,sale_month_key
0,10006 N CALHOUN AVE,321000,2980.9,5000,1120,768,3,1.0,1908,2 OR MORE STY W/BSMT,ST. JOHNS,1118,sitton,9,0,Composition,Wood,Carport,Forced air,None,Queen Anne / Victorian,Adorable period farmhouse in St. Johns is ready for you to call at home. Front porch and wood floors lend this home an old-fashioned charm. Sliding door''s lead to a deck and large fenced backyard--Great for entertaining. Great layout with master bedroom on main level plus 2 bedrooms upstairs. Recent updates include rebuilt stairs and fresh exterior paint. Roomy corner lot offers great potential.,1,20
2,10014 N OREGONIAN AVE,362000,2657.42,4530,1306,584,3,2.5,1994,2 OR MORE STY,ST. JOHNS,1306,james john,4,0,Composition,Cement / Concrete,,Forced air,,Contemporary,"OPEN HOUSE SUNDAY 12/4. FROM 1-4PM. You will not disappoint to see this house. Corner lot. Fully remodel with new hardiplank sidings,laminate floors. New  Kitchen cabinets & slap granite countertops.  Tile floor in kitchen and all baths room.  Cedar on front porch. Fully fenced backyard.  5 min to University of Portland. 10 min to downtown.",1,26
3,10019 N JERSEY ST,395000,3758.97,5000,1321,1321,3,2.0,2000,1 STY,ST. JOHNS,1402,sitton,3,0,Composition,,Garage - Attached,Forced air,,Other,,1,22
4,10019 N MOHAWK AVE,296650,2800.3,4700,960,960,3,1.0,1958,1 STY,ST. JOHNS,960,james john,3,0,Composition,Wood,Carport,Radiant,None,Ranch / Rambler,"Mid-Century Ranch in Vibrant St Johns Neighborhood! Super Floor-plan lives larger with 3 beds/1 bath, Hardwoods, Sunny Living Rm, Good Sized Kitchen w/Adjacent Dining and Utility/Mudroom leading to Big Backyard. Pellet Stove a plus! Minutes from all the amenities of St Johns biz district. Here's your Opportunity to own a home that is ready to move into and with easy cosmetics, offers the chance to build your own sweat equity!",1,29
5,10020 N TIOGA AVE,360500,1940.2,5000,1026,1026,3,1.0,1959,1 STY,ST. JOHNS,1026,james john,3,0,,Wood,Garage - Attached,Forced air,,,"Adorable 50's ranch! Refinished hardwoods, fresh paint, new kitchen counter & floor, private fenced backyard, a/c, new vinyl window, alarm system and lots of charm! Perfect first home or rental in hot St. John's area!",1,29
6,10023 N SYRACUSE ST,340000,3271.86,5000,1174,1174,3,1.5,1914,1 STY W/BSMT,CATHEDRAL PARK,1750,,8,0,Shake / Shingle,Other,Garage - Detached,Forced air,,Bungalow,,1,20
7,10024 N CENTRAL ST,337000,2798.89,5300,1291,1291,3,1.0,1950,1 STY,ST. JOHNS,1291,sitton,2,0,Composition,Vinyl,,Forced air,Central,,Charming 3 bedroom ranch with brand new roof! Here is your chance to fix up a cute one level home in the Pier Park NBHRD in the super hot St. John's area!!,1,28
8,10026 N OSWEGO AVE,270000,2095.57,4700,905,905,2,1.0,1954,1 STY,ST. JOHNS,905,,3,0,Composition,Vinyl,On-street,Forced air,Central,Ranch / Rambler,"Super cute 2 bedroom/1 bath ranch in quiet St Johns neighborhood! Open great room style floor plan. Laminate wood flooring throughout except master bedroom. Kitchen features tile counters, gas range & eating nook. Two bedrooms were combined to create large master bedroom. Updated bathroom. Spacious level backyard has many possibilities. Tankless hot water heater. Updated electrical service & panel. Detached garage/shop is of no value.",1,22
12,10032 N SYRACUSE ST,270000,3461.2,5000,1220,1220,3,2.0,1983,1 STY,CATHEDRAL PARK,1220,,3,0,,,,,,,,1,25
13,10033 N CENTRAL ST,217500,1984.76,5300,720,720,2,1.0,1954,1 STY,ST. JOHNS,720,,3,0,,,,Forced air,,,"Great Investment In Up And Coming Neighborhood! Walk To Downtown St. Johns. Easy Living In Cozy 1 Level Home - All Hardwood, Gas Appliances. Lots Of Potential Upside. Huge Backyard That Is Crazy Quiet/Backs To School - No Backyard Neighbors. This Is What You Have Been Looking For.     Attention Investors!",1,27
15,10035 N IVANHOE ST,290000,3292.36,5000,1012,1012,3,2.0,1981,1 STY,ST. JOHNS,1008,,4,0,,,,Forced air,,,,1,21
17,10046 N MOHAWK AVE,300000,2990.12,4700,1166,1166,3,2.0,1998,1 STY,ST. JOHNS,1166,,3,0,,,,,,,"Impeccable one level home!  New roof 2010 with a transferrable 30 yr warranty, new Trane AC unit 2012, and new water heater 2016!!! Many of the fixtures throughout the home are from Chown Hardware!  You have to see to believe this amazing well maintained  home.  Fully fenced backyard.  Hurry on this one!!!",1,21
18,10103 N POLK AVE,310000,2084.51,5457,720,720,2,1.0,1954,1 STY,ST. JOHNS,812,sitton,3,0,Other,Vinyl,Garage - Detached,Forced air,Wall,Ranch / Rambler,"Wonderful 2 bedroom 1 bath, remodeled St. John's Ranch, blocks to downtown St. John's, George Park and Pier Park!  480 square ft detached garage big enough for all activities plus parking!  Garden beds in back!  Cherry lam floors, dbl-paned vinyl windows throughout, remodeled kitchen and bath, new energy efficient Daikin AC and Heating split unit!  Fantastic home!",1,31
19,10105 N TIOGA AVE,17500,2635.73,6500,960,960,3,1.0,1968,1 STY,ST. JOHNS,960,,3,0,,,,,,,,1,31
20,10107 N ALLEGHENY AVE,375000,3012.51,4700,1408,1408,4,2.0,1995,1 STY,ST. JOHNS,1408,sitton,5,0,Composition,,Garage - Attached,Forced air,,Ranch / Rambler,,1,22
21,10115 N CALHOUN AVE,317000,2464.1,5000,1230,870,2,1.0,1910,1 STY W/BSMT,ST. JOHNS,1680,sitton,6,0,,,,,,Bungalow,"Lots of charm waiting for your finishing touches! This 2b 2b bungalow Located in the heart of St Johns. New carpet, flooring garnet counter tops, SS appliances, and an unfinished basement waiting for your magic touch! RV parking and fenced back yard makes this a must see!",1,26
22,10115 N OSWEGO AVE,251000,1686.5,5000,544,544,1,1.0,1919,1 STY W/BSMT,ST. JOHNS,859,,5,0,Composition,Vinyl,,Forced air,,Bungalow,"St Johns Bungalow geared towards a simple lifestyle and reduced impact/minimized footprint.  Very well maintained and move in ready.  High ceilings and lots of windows offer an abundance of light.  Front porch, covered back deck, quiet street. Large, level pretty lot offers a myriad of opportunities to grow or build - expand in whichever manner you see fit.  Lots of outdoor space for plenty of breathing room.  Embrace summer!",1,20
23,10123 N POLK AVE,233725,2028.57,5202,720,720,2,1.0,1954,1 STY,ST. JOHNS,720,,2,0,,,,,,,,1,27
24,10132 N LEONARD ST,257000,3276.81,5700,1306,584,3,2.5,1997,2 OR MORE STY,ST. JOHNS,1306,james john,5,0,,,,,,,"Great location - close to St. Johns's shops, bus and parks. Double garage, woodburning fireplace and a large fenced yard are a few of the perks of this 3 bedroom 2-1/2 bath home.",1,24
25,10133 N BUCHANAN AVE,270000,3174.47,5000,1765,929,3,2.0,1957,1 STY W/BSMT,ST. JOHNS,1765,,4,0,,,,,,,,1,28
26,10140 N POLK AVE,305000,2489.35,5040,980,980,3,1.0,1970,1 STY,ST. JOHNS,980,sitton,3,0,Composition,,,Heat Pump,,,"Updated 70's ranch w/ 3 spacious bedrooms, remodeled kitchen and bathroom, new flooring, new carpet in bedrooms, new windows.",1,27
27,10142 N BUCHANAN AVE,470000,3525.73,5200,1536,1024,3,2.0,1919,1 STY W/ATTIC & BSMT,ST. JOHNS,2560,sitton,7,0,Shake / Shingle,Other,Garage - Detached,Forced air,Central,Bungalow,"Oustanding craftsman bungalow on a corner lot. Softwood floors, natural woodwork and updated kitchen with concrete countertops and wainscotting. Two updated baths with tile. Huge master suite up. Full basement with exterior entrance and high ceilings. Detached garage. Built-ins throughout. Don&apos;t miss this quality property.",1,28
28,10150 N JAMES ST,421500,3905.81,6874,1713,930,3,2.0,1944,1 STY W/ATTIC & BSMT,ST. JOHNS,1578,sitton,7,0,Asphalt,Wood,Garage - Detached,Forced air,None,Cape Cod,"2 bedroom 2 bathroom with a finished basement and bonus room in the attic.  Urban farmer's dream, with huge garden and chicken coop.",1,30
29,10151 N OSWEGO AVE,330000,2252.58,7000,704,704,2,1.0,1954,1 STY W/BSMT,ST. JOHNS,704,sitton,6,0,Composition,Metal,Garage - Detached,Forced air,,Other,"	Charming Mid century bungalow w/oversized yard, 2Br/1Ba w/hardwoods*gorgeous updated bath w/designer tile & cast iron tub**Updtd electrical w/add panel for generator or solar, new water lines, new windows, Duct system in place, newer roof on both house &shop/garage**sweet shop/storage/garage w/sep eletrical**large fenced yard w/fruit trees & raised veggie beds & Chicken coop!!",1,30
30,10185 N IRIS WAY,375000,3369.46,9048,1008,1008,3,2.0,1997,1 STY,ST. JOHNS,1008,,3,0,Shake / Shingle,Wood,Garage - Attached,Forced air,Central,Other,Great home on extra large fenced lot! Perfect starter or rental investment opportunity. Across from community garden and in a great location with easy access to freeways and the heart of Portland or Vancouver. Contact Sharon Gagnier at 541-660-8825 for more information!,1,29
31,10200 N BARR AVE,369000,2958.74,11900,1348,948,2,1.0,1927,1 STY W/ATTIC & BSMT,ST. JOHNS,1896,james john,6,0,Composition,,,Forced air,,Bungalow,Opportunity for investors! 2 bedroom convenient to DTN St. Johns and Pier Park. Has the possibility of 3 building lots. keep home to live in and build 3 homes or tear down home for 3 new homes. Across form large community garden set in secluded setting. Hurry on this one. Buyer to do own due diligence. Wall needs to be replaced to make 2nd bedroom.,1,28
32,10206 N MIDWAY AVE,196500,2998.37,5000,1270,1270,2,1.0,1947,1 STY W/ATTIC,ST. JOHNS,1270,,4,0,,,,,,Bungalow,HUGE LOT that has a ton to offer. Amazing price for a lot like this in and around the city. Bring your creative buyers and come with vision for this fixer or perhaps a whole new home! The possibilities are endless! Great investment property that's potentially sub-dividable- buyer to do all due . CASH ONLY.,1,26
